Company,Event / Reason,Date,Theme,How,Who did the Action,# of People,Where,Source
Amazon,"Shareholders brought 9 proposals to the proxy ballot at Amazon's annual shareholder meeting. Some of the concerns outlined include: the sale of Amazon's 'Rekognition' technology to governments and law enforcement and the companies failure to remove racist and offensive products from its marketplace. The statement was ultimately endorsed by 114 investors who together represent more that $ 2.6 trillion USD in assets. The statement concludes, that Amazon does not presently have adequate risk mitigation structures in place.",2018-11-05,Ethics (Rekognition),Shareholder Proposal,Shareholders,114,N/A,"https://www.iccr.org/shareholders-present-slate-proposals-amazon-annual-meeting, https://www.iccr.org/sites/default/files/page_attachments/amzn_investor_letter_draft_final_no_signatures-_nov_5_2018.pdf"
Amazon,"Across 5 locations in the UK, Amazon warehouse workers walked out in protest of ""inhumane"" working conditions. The protest took place on Black Friday, one of the busiest days of the year.",2018-11-23,Labor / Wage,Protest,Workers,300,"Rugeley, Swansea, Peterborough, Milton Keyes, Warrington (UK)",https://www.telegraph.co.uk/technology/2018/11/24/union-stages-protest-against-amazon-robot-working-conditions/
Amazon,"In response to Amazon's announcement that they wished to located on of their 2 new headquarters in New York, Protestors gathered in Court House Square, (Queens, New York).",2018-11-26,Ethics,Protest,Concerned Citizens,24+,"Queens, New York",https://www.vox.com/2019/1/30/18202825/amazon-hq2-new-york-city-political-battle-de-blasio-queens
Google,"Amnesty International protests outside of Google offices worldwide in response to Chinese censorship program ""Dragonfly""",2018-11-27,Ethics (Dragonfly),Protests (Multiple),Concerned Citizens,NaN,"San Francisco, Berlin, Toronto, London, Worldwide",https://www.theglobeandmail.com/business/article-canadian-google-offices-set-to-face-protests-from-activists-over/
Google,A second letter demanding Google drop project Dragonfly is signed by hundreds of Google employees.,2018-11-27,Ethics (Dragonfly),Letter (Petition),Tech Employees,740,Worldwide,https://medium.com/@googlersagainstdragonfly/we-are-google-employees-google-must-drop-dragonfly-4c8a30c5e5eb
Google,"Organizers of the November 2018 Google walk-out demand an end to forced arbitration. Following the walk-out, Google only allowed arbitration for sexual harassment and assault cases for full-time employees and not contract workers. Feeling the response to be insufficient, organizers of the previous walk-out drafted letter demanding an end to arbitration for all employees and all forms of labor disputes. The letter also called for the support of other employees working in the tech industry.",2018-12-10,Forced Arbitration,Letter,Tech Employees,20,Worldwide,https://www.businessinsider.com/google-walkout-forced-arbitration-2018-12?r=UK&IR=T
Amazon,"In response to Amazon's announcement that they wished to located on of their 2 new headquarters in New York, Protestors gathered outside of a public hearings for the project at New York City Council",2018-12-28,Ethics,Protest,Concerned Citizens,50+,"Manhattan, New York",https://www.vox.com/2018/12/12/18137488/new-york-amazon-hq2-deal-hearing
Google,"Google employees launch a campaign called ""Googlers for Ending Forced Arbitration""",2019-01-19,Forced Arbitration,Campaign Launch,Tech Employees,"(for safety of those involved, number was not disclosed)",Worldwide,https://www.nbcnews.com/tech/tech-news/google-employees-launch-campaign-bring-discrimination-issues-out-shadows-n959016
Amazon,"Protestors interrupt a New York City Council Finance Committee hearing, demanding the HQ2 project not go forward.",2019-01-30,Ethics,Protest,Concerned Citizens,NaN,"Manhattan, New York",https://www.vox.com/the-goods/2019/2/14/18225003/amazon-hq2-new-york-pulling-out
Hewlett-Packard,"In September 2008, HP announced it was cutting 7.5% of its workforce. Thousands of these jobs were in Europe and number of demonstrations took place across the continent to protest the layoffs and working conditions.",2019-02-10,Labor / Wage,Protest,Workers,NaN,Germany (14 sites),https://www.eurofound.europa.eu/publications/article/2009/europe-wide-protests-against-hewlett-packard-job-cuts
PayPal,Boycott from conservative groups following news PayPal works with far-left 'Southern Poverty Law Centre' (SPLC) to identify and ban people from its platform.,2019-02-28,Ethics (Conservative),Boycott,Concerned Citizens,NaN,Internet,https://www.foxnews.com/tech/conservatives-call-for-paypal-boycott-after-ceo-admits-splc-helps-ban-users
Facebook,"Protestors stripped naked and gathered outside of Facebook's New York Headquarters as a result of Facebook's nudity policy. The protest was part of the ""Free the Nipple"" movement.",2019-03-06,Ethics,Protest,Concerned Citizens,24+,New York,https://www.businessinsider.de/people-strip-off-in-protest-against-facebook-ban-on-nudity-2019-6?r=US&IR=T
PayPal,"An online petition demanding citizens of Afghanistan have access to PayPal gains over 5,000 signatures.",2019-03-07,Ethics (General),Petition (Online),Concerned Citizens,5662,Afghanistan,https://www.change.org/p/paypal-bring-paypal-to-afghanistan
Google,"A letter demanding the removal of Kay Cole James from their Artificial Intelligence council is signed by thousands of Google employees. The letter accuses Kay Coles James as being ""vocally anti-trans, anti-LGBTQ, and anti-immigrant.""",2019-04-01,Discrimination against sexual orientation and gender identity,Letter (Petition),Tech Employees,2476,Internet,https://medium.com/@against.transphobia/googlers-against-transphobia-and-hate-b1b0a5dbf76
Google,"Over 900 Google employees sign a letter in which they object to the company's treatment of temporary contractors, also known as temps, vendors and contractors (TVCs). The letter was spurred by events on March 8th, when 80% of a team of temporary contractors were told their contracts would end early.",2019-04-19,Treatment of TVCs,Letter (Petition),Tech Employees,900+,Worldwide,https://www.theguardian.com/technology/2019/apr/02/google-workers-sign-letter-temp-contractors-protest
Google,"Organizers of November 2018 walk-out organize a sit-in, 6-months to the date of the original protest in response to the company's perceived retaliation against those who report sexual harassment in the workplace.",2019-05-01,Sexual Harassment,Sit-In,Tech Employees,NaN,Worldwide,https://www.vice.com/en_us/article/8xzgjg/google-workers-sit-in-to-protest-alleged-retaliation-against-women-who-report-sexual-harassment
Oracle,Oracle fires 900 of its staff from its China team. Protestors believe the firings to be politically motivated by the US-China trade war.,2019-05-07,Labor / Wage,Protest,Workers,24+ (unclear),"Beijing, China",https://www.ft.com/content/16ffdcec-749d-11e9-bbad-7c18c0ea0201
Uber & Lyft,Uber and Lyft drivers participated in a global strike in response to unfair wages and exploitative pay practices. Central to the protest is continued criticisms of the companies' classifications of drivers as contractors rather than full-time employees. The strike was characterized by drivers turning of their apps for varying periods of time ranging from 2-hours to a full day.,2019-05-08,Labor / Wage,Protest,Drivers,N/A,"United States (Boston, Chicago, Los Angeles, Minneapolis, Philadelphia, San Diego, San Francisco, Stamford, & Washington, D.C.), Melbourne, Sydney, Montreal, London.",https://www.curbed.com/2019/5/7/18535700/uber-lyft-driver-strike-protest-ipo
Palantir Technologies,Roughly 40 people flooded Palantir Technologies's Github page and 'flagged' issues - a function of the website which requires employees of Palantir Technologies to respond to each flagged problem. The demonstration was in response to the US Government's use of their technology to facilitate the detention and deportation of immigrants and unaccompanied children.,2019-05-14,"Ethics (CBP, ICE)",Protest (Online),Tech Employees,40,Internet,https://www.theguardian.com/us-news/2019/may/13/tech-workers-palantir-immigration-protest-github
Netflix,"After Netflix vowed to financially support the legal fight against a Georgia state law which would deem abortion unacceptable if the fetus had a heartbeat, protestors took to creating an online petition where users promised to cancel their subscription.",2019-05-30,Ethics (Abortion),Petition (Online),Concerned Citizens,9720,"Internet (Georgia, US)",https://www.citizengo.org/en-gb/lf/171041-stop-netflix-funding-pro-abortion-legal-protection-unborn-children-cancel-subscription
